Model,Dataset,Quantization,Prediction Accuracy,Mean Abs Value of Output,Inference Time,Model Size,% Prediction Accuracy w.r.t float32,% Mean Abs Value of Output w.r.t float32,% Inference Time w.r.t float32,% Model Size w.r.t float32
alexNet,MNIST,torch.float16,99.05,4.341325283050537,0.0153965950012207,228123611,99.94680851063829,99.99968665769674,inf,100.69151825175098
alexNet,MNIST,float64,98.71,4.438983036237126,0.0481767654418945,456239039,100.0,99.999993128689,inf,198.87433040230886
leNet,CIFAR10,float32,54.52,2.1656789779663086,0.0004968643188476,251107,100.0,100.0,100.0,100.0
leNet,CIFAR10,torch.qint8,54.52,2.1667420864105225,0.0,76479,100.22260447232622,94.70433762183609,65.90842143161028,28.240625672626088
leNet,CIFAR10,torch.float16,54.51,2.165665864944458,0.0004963874816894,253055,100.22260447232622,94.73252507788749,70.45461984093218,100.00082587486285
leNet,CIFAR10,float64,54.52,2.165678882884162,0.0004971027374267,499043,99.87857937873116,96.86352539452304,220.45625634143948,199.99806462976673
leNet,CIFAR100,float32,18.8,1.1413328647613523,0.0,281699,100.0,100.0,100.0,100.0
leNet,CIFAR100,torch.qint8,18.81,1.1435142755508425,0.0004968643188476,84415,100.58538781943038,97.26021711274078,70.45199157766122,28.240625672626088
leNet,CIFAR100,torch.float16,18.79,1.141329288482666,0.0004968643188476,283647,100.55161544523247,97.2697809618663,75.00136372066636,100.00082587486285
leNet,CIFAR100,float64,18.8,1.1413327863368217,0.0004966259002685,560227,99.88742541934032,98.81170999771915,229.54146256314027,199.99806462976673
leNet,FashionMNIST,float32,87.16,3.578260898590088,0.0004966259002685,249891,100.0,100.0,100.0,100.0
leNet,FashionMNIST,torch.qint8,87.18,3.5703232288360596,0.0004966259002685,75263,102.08787784356497,93.27579646652786,67.39019274317266,28.260108384000592
leNet,FashionMNIST,torch.float16,87.16,3.5780162811279297,0.0004966259002685,251839,102.11904019943908,93.35959170466612,76.08711532240392,100.00082565063735
leNet,FashionMNIST,float64,87.16,3.5782608235095736,0.0004971027374267,496611,100.65440947335617,95.90153870294982,243.4814822544795,199.99806515522084
leNet,MNIST,float32,98.27,4.716769218444824,0.0,249891,100.0,100.0,99.99999999999999,100.0
leNet,MNIST,torch.qint8,98.26,4.719590187072754,0.0004966259002685,75263,105.1129607609988,98.1534755358173,71.73386760163626,28.23929628803879
leNet,MNIST,torch.float16,98.27,4.71685266494751,0.0004968643188476,251839,105.05350772889419,98.14991128880727,73.90850655313447,100.00082034803457
leNet,MNIST,float64,98.27,4.716769024913651,0.0004966259002685,496611,98.92984542211653,104.45027429568816,234.7681359044998,199.99804971398788
resNet18,CIFAR10,float32,72.13,2.522594690322876,0.0526468753814697,44796377,100.0,100.0,100.0,100.0
resNet18,CIFAR10,torch.qint8,74.71,2.900280237197876,0.0506603717803955,44781839,100.25298522566283,89.55853346047772,91.09741436287801,30.374129864810953
resNet18,CIFAR10,torch.float16,74.75,2.894631862640381,0.0630767345428466,44797071,100.25298522566283,89.56336325694105,100.5932777993026,100.00040292651427
resNet18,CIFAR10,float64,72.13,2.5225946671037556,0.1614165306091308,89561369,100.10119409026514,106.43551618789813,311.8527360576157,199.99887681322826
resNet18,CIFAR100,float32,27.34,1.9254858493804932,0.0571167469024658,44981081,100.0,100.0,100.0,100.0
resNet18,CIFAR100,torch.qint8,30.97,2.0561563968658447,0.0506598949432373,44828303,100.5436013590034,97.22923102040046,91.35908821556201,30.374129864810953
resNet18,CIFAR100,torch.float16,30.94,2.0558416843414307,0.0501637458801269,44981775,100.49830124575311,97.17752701309678,93.26251132290709,100.00040292651427
resNet18,CIFAR100,float64,27.34,1.9254860267255796,0.1490058898925781,89930713,100.09060022650057,97.16228508183887,279.76847754866566,199.99887681322826
resNet18,FashionMNIST,float32,90.8,2.7168450355529785,0.0511565208435058,44771289,100.0,100.0,100.00000000000001,100.0
resNet18,FashionMNIST,torch.qint8,91.59,3.300523042678833,0.0476820468902587,44756751,102.53521126760563,96.77958352706429,94.54549107514448,30.374752563167604
resNet18,FashionMNIST,torch.float16,91.57,3.2981255054473877,0.0471837520599365,44771983,102.62188515709643,96.9054760203915,97.75838167211525,100.00040292291071
resNet18,FashionMNIST,float64,90.8,2.7168448344386045,0.1477258205413818,89511193,100.36836403033587,92.99025327107755,292.3994500716114,199.9988768232735
resNet18,MNIST,float32,98.96,3.057389974594116,0.0496666431427001,44771289,100.0,100.0,100.0,100.0
resNet18,MNIST,torch.qint8,99.11,3.040787696838379,0.0461902618408203,44756751,104.16666666666667,94.90681469087977,90.24873288251308,30.35946611745232
resNet18,MNIST,torch.float16,99.11,3.038046598434448,0.0466866493225097,44771983,104.16666666666667,94.89596091717077,93.37059766251026,100.00040177277087
resNet18,MNIST,float64,98.96,3.0573900243827152,0.1311047077178955,89511193,102.08333333333334,99.51147790403951,270.2168106424839,199.99886764331293
vgg11,CIFAR10,float32,46.15,1.750369429588318,0.1661343574523925,515235035,100.0,100.0,100.0,100.0
vgg11,CIFAR10,torch.qint8,47.32,1.694000244140625,0.1570725440979004,156501367,100.15157639450284,99.45697873370108,93.00057124478573,99.96752829698515
vgg11,CIFAR10,torch.float16,47.36,1.6962038278579712,0.1624102592468261,515237111,100.15157639450284,99.3673238834298,94.00000960075276,100.00155010055663
vgg11,CIFAR10,float64,46.32,1.6276729657536926,0.4857759475708008,1030464283,100.0,100.0000016284674,263.96933519587986,199.92989927093677
vgg11,CIFAR100,float32,0.96,0.0120901130139827,0.1829838752746582,516709979,100.0,100.0,100.0,100.0
vgg11,CIFAR100,torch.qint8,1.0,0.0114743411540985,0.1651406288146972,156870391,100.87004405286343,121.48366945805779,93.20815040593564,99.96752829698515
vgg11,CIFAR100,torch.float16,1.0,0.0114730289205908,0.1708531379699707,516712055,100.84801762114537,121.39542234789616,92.23409114211952,100.00155010055663
vgg11,CIFAR100,float64,0.98,0.0120310501404828,0.4944531917572021,1033414107,100.0,99.99999259750294,288.7722192705278,199.92989927093677
vgg11,FashionMNIST,float32,88.3,3.236154556274414,0.1826634407043457,515230427,100.0,100.0,100.0,100.0
vgg11,FashionMNIST,torch.qint8,88.78,3.1464881896972656,0.166879653930664,156496759,103.5768750866491,114.9721058370522,96.22673978905613,99.96754648260952
vgg11,FashionMNIST,torch.float16,88.74,3.144814968109131,0.1703565120697021,515232503,103.63233051434909,114.74819453734308,119.81097469850592,100.00154923243011
vgg11,FashionMNIST,float64,88.38,3.144321715656264,0.5110347270965576,1030455067,100.0,99.99999907955406,306.60229964178484,199.92993853052
vgg11,MNIST,float32,98.82,4.738954067230225,0.1673774719238281,515230427,100.0,100.0,100.0,100.0
vgg11,MNIST,torch.qint8,99.07,4.244137763977051,0.1524765491485595,156496759,113.27724945135333,106.78636758236335,88.69534364368754,99.66035053715139
vgg11,MNIST,torch.float16,99.07,4.244366645812988,0.1683704853057861,515232503,113.16752011704462,106.77002300499265,87.82668586813594,100.00154287087942
vgg11,MNIST,float64,98.92,5.0439302233638825,0.5219712257385254,1030455067,100.0,100.00000921040716,260.87951077995535,199.93008393906763
