,Model,Dataset,Quantization,Prediction Accuracy,Mean Abs Value of Output,Inference Time,Model Size
0,leNet,FashionMNIST,float32,86.89,3.499274492263794,0.0007953643798828125,249891
1,leNet,FashionMNIST,torch.qint8,86.9,3.504082202911377,0.0008122920989990234,75263
2,leNet,FashionMNIST,torch.float16,86.89,3.4993484020233154,0.0007307529449462891,251839
3,leNet,FashionMNIST,float64,86.89,3.499274183290196,0.0009045600891113281,496611
4,leNet,CIFAR10,float32,54.18,2.2873787879943848,0.0007119178771972656,251107
5,leNet,CIFAR10,torch.qint8,54.18,2.277129650115967,0.0007486343383789062,76479
6,leNet,CIFAR10,torch.float16,54.2,2.2874159812927246,0.0007662773132324219,253055
7,leNet,CIFAR10,float64,54.18,2.287378709500359,0.0008831024169921875,499043
